"Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS"
"13 seasons,,CHI,NBA,,930,919,38.6,11.8,23.3,.505,0.6,1.8,.332,11.2,21.5,.520,.518,7.3,8.7,.838,1.7,4.6,6.3,5.4,2.5,0.9,2.8,2.7,31.5"
"2 seasons,,WAS,NBA,,142,120,36.1,8.7,20.1,.431,0.2,0.8,.241,8.5,19.3,.439,.436,3.7,4.6,.805,0.9,5.0,5.9,4.4,1.5,0.5,2.4,2.0,21.2"
