Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2006-07,34,MIA,NBA,C,40,39,28.4,7.1,12,0.591,0,0,,7.1,12,0.591,0.591,3.1,7.4,0.422,2.4,5,7.4,2,0.2,1.4,2.4,3.5,17.3
2007-08,35,TOT,NBA,C,61,61,28.7,5.4,9.1,0.593,0,0,,5.4,9.1,0.593,0.593,2.8,5.5,0.503,2.7,6.4,9.1,1.5,0.5,1.4,3,3.7,13.6
2007-08,35,MIA,NBA,C,33,33,28.6,5.8,10,0.581,0,0,,5.8,10,0.581,0.581,2.7,5.4,0.494,3,4.8,7.8,1.4,0.6,1.6,3,4.1,14.2
2007-08,35,PHO,NBA,C,28,28,28.7,5,8.2,0.611,0,0,,5,8.2,0.611,0.611,2.9,5.7,0.513,2.4,8.2,10.6,1.7,0.5,1.2,3,3.4,12.9
2008-09,36,PHO,NBA,C,75,75,30,6.8,11.2,0.609,0,0,0,6.8,11.2,0.61,0.609,4.1,6.9,0.595,2.5,5.9,8.4,1.7,0.7,1.4,2.2,3.4,17.8
2009-10,37,CLE,NBA,C,53,53,23.4,4.9,8.7,0.566,0,0,0,4.9,8.7,0.567,0.566,2.1,4.3,0.496,1.8,4.9,6.7,1.5,0.3,1.2,2,3.2,12
2010-11,38,BOS,NBA,C,37,36,20.3,3.6,5.4,0.667,0,0,,3.6,5.4,0.667,0.667,2,3.5,0.557,1.3,3.5,4.8,0.7,0.4,1.1,1.5,3.2,9.2
Career,,,NBA,,1207,1197,34.7,9.4,16.1,0.582,0,0,0.045,9.4,16.1,0.583,0.582,4.9,9.3,0.527,3.5,7.4,10.9,2.5,0.6,2.3,2.7,3.4,23.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 seasons,,LAL,NBA,,514,509,37.6,10.6,18.5,0.575,0,0,0,10.6,18.5,0.576,0.575,5.8,10.8,0.533,3.8,8,11.8,3.1,0.6,2.5,2.8,3.3,27
4 seasons,,ORL,NBA,,295,293,37.8,10.9,18.7,0.581,0,0,0.091,10.9,18.7,0.582,0.581,5.4,10,0.546,4.2,8.3,12.5,2.4,0.8,2.8,3,3.6,27.2
4 seasons,,MIA,NBA,,205,203,31.1,7.9,13.2,0.596,0,0,,7.9,13.2,0.596,0.596,3.8,8.3,0.46,3,6,9.1,2.1,0.4,1.9,2.8,3.7,19.6
2 seasons,,PHO,NBA,,103,103,29.7,6.3,10.4,0.609,0,0,0,6.3,10.4,0.61,0.609,3.8,6.6,0.576,2.5,6.6,9,1.7,0.6,1.4,2.4,3.4,16.5
1 season,,CLE,NBA,,53,53,23.4,4.9,8.7,0.566,0,0,0,4.9,8.7,0.567,0.566,2.1,4.3,0.496,1.8,4.9,6.7,1.5,0.3,1.2,2,3.2,12
1 season,,BOS,NBA,,37,36,20.3,3.6,5.4,0.667,0,0,,3.6,5.4,0.667,0.667,2,3.5,0.557,1.3,3.5,4.8,0.7,0.4,1.1,1.5,3.2,9.2
